c_custkey,c_name,c_address,c_city,c_nation,c_region,c_phone,c_mktsegment
939,Customer#000000939,I2QnNMuqFf,ROMANIA  8,ROMANIA,EUROPE,29-544-403-7594,FURNITURE
940,Customer#000000940,8T9c3q3NQH90wGv,ROMANIA  8,ROMANIA,EUROPE,29-352-357-7209,AUTOMOBILE
941,Customer#000000941,ZRTvRU6KcLC5XBwZaDIh74,ROMANIA  6,ROMANIA,EUROPE,29-786-474-5957,FURNITURE
942,Customer#000000942,"u,cgumtL3M3xGFho2R9vyHFd",CHINA    5,CHINA,ASIA,28-754-425-8980,HOUSEHOLD
943,Customer#000000943,UWNp9lcgflnamAoLjYuS5,ETHIOPIA 7,ETHIOPIA,AFRICA,15-327-662-8527,FURNITURE
944,Customer#000000944,TFcRlX4gUbh43ICPtm,EGYPT    9,EGYPT,MIDDLE EAST,14-132-882-2925,BUILDING
945,Customer#000000945,"Y,,sge",MOROCCO  8,MOROCCO,AFRICA,25-287-870-3637,BUILDING
946,Customer#000000946,yLjacF9Ja,VIETNAM  7,VIETNAM,ASIA,31-788-120-7833,FURNITURE
947,Customer#000000947,iDsn9vAovHabtMA,RUSSIA   2,RUSSIA,EUROPE,32-683-809-4484,BUILDING
948,Customer#000000948,uup TEfku,PERU     9,PERU,AMERICA,27-610-656-3668,AUTOMOBILE
949,Customer#000000949,zcpPpjLJ4esFdiX3,BRAZIL   2,BRAZIL,AMERICA,12-263-284-6757,AUTOMOBILE
950,Customer#000000950,"FIXCUPBWTEDSeIAKRNr9,3",MOROCCO  3,MOROCCO,AFRICA,25-722-982-9755,FURNITURE
951,Customer#000000951,cDoW3G,ALGERIA  2,ALGERIA,AFRICA,10-667-589-4141,FURNITURE
952,Customer#000000952,"IK,2zkq9NC7fw5ycYwkjg5",UNITED ST7,UNITED STATES,AMERICA,34-902-185-9642,AUTOMOBILE
953,Customer#000000953,"WjhaS7s88F,bhwY",RUSSIA   9,RUSSIA,EUROPE,32-879-323-7032,BUILDING
954,Customer#000000954,"A ,ksZIx2dyfK iPfoNIW",ROMANIA  7,ROMANIA,EUROPE,29-462-295-6567,FURNITURE
955,Customer#000000955,"miIz,OhJ9",ALGERIA  4,ALGERIA,AFRICA,10-722-660-7220,AUTOMOBILE
956,Customer#000000956,RiZYP f8NZ3WNiuZe,SAUDI ARA6,SAUDI ARABIA,MIDDLE EAST,30-170-549-6376,HOUSEHOLD
957,Customer#000000957,SlSB04zffuu,ROMANIA  4,ROMANIA,EUROPE,29-927-226-6896,FURNITURE
958,Customer#000000958,d c6pq5TdFt5l3yy8,ETHIOPIA 1,ETHIOPIA,AFRICA,15-532-314-9903,FURNITURE
959,Customer#000000959,drlN H1,EGYPT    1,EGYPT,MIDDLE EAST,14-700-486-1040,FURNITURE
960,Customer#000000960,FMMGuReFsVPZxmXw5TQ,EGYPT    8,EGYPT,MIDDLE EAST,14-187-156-3225,HOUSEHOLD
961,Customer#000000961,W0SZ2oflx9aWTggtwSk3,JAPAN    5,JAPAN,ASIA,22-445-875-1233,MACHINERY
962,Customer#000000962,GnBVTZhkN gXW,EGYPT    9,EGYPT,MIDDLE EAST,14-883-927-3910,BUILDING
963,Customer#000000963,"X,mN4HNNQ4KatIaVlL6CT5c1",JORDAN   8,JORDAN,MIDDLE EAST,23-146-791-5866,HOUSEHOLD
964,Customer#000000964,"2DpdvfAw4TuXl8DV,YV",JAPAN    2,JAPAN,ASIA,22-898-126-9264,FURNITURE
965,Customer#000000965,7IKpO1RNZIgyaq5RyD4q,BRAZIL   6,BRAZIL,AMERICA,12-402-178-2007,MACHINERY
966,Customer#000000966,6ROS8aS4,INDIA    9,INDIA,ASIA,18-480-441-5244,MACHINERY
967,Customer#000000967,vgNqFVj84wrEByskKaj3,UNITED KI5,UNITED KINGDOM,EUROPE,33-146-945-2364,BUILDING
968,Customer#000000968,NxrVlrZ4jzSHA,ALGERIA  8,ALGERIA,AFRICA,10-780-340-3819,BUILDING
969,Customer#000000969,"eRd8kP,pHUmF8vXOR",INDIA    0,INDIA,ASIA,18-108-793-2841,BUILDING
970,Customer#000000970,o3mKsUhj,KENYA    1,KENYA,AFRICA,24-319-685-6601,MACHINERY
971,Customer#000000971,tYRn63r6yz,ARGENTINA9,ARGENTINA,AMERICA,11-661-716-6605,AUTOMOBILE
972,Customer#000000972,jEgwjA dOXAL4M,EGYPT    7,EGYPT,MIDDLE EAST,14-262-124-6233,MACHINERY
973,Customer#000000973,m7WH7dN5,ALGERIA  8,ALGERIA,AFRICA,10-170-955-7287,FURNITURE
974,Customer#000000974,U9O2UMcH7eQPcD5Rl500VnG,SAUDI ARA0,SAUDI ARABIA,MIDDLE EAST,30-753-101-5745,HOUSEHOLD
975,Customer#000000975,"BblOMlep,uoH2UpK7kNivM",MOZAMBIQU5,MOZAMBIQUE,AFRICA,26-455-580-7646,FURNITURE
976,Customer#000000976,jTS6hZGzXzQON,ROMANIA  3,ROMANIA,EUROPE,29-430-540-7796,BUILDING
977,Customer#000000977,iOgubwjbeTRGKViJo,BRAZIL   9,BRAZIL,AMERICA,12-267-732-1345,FURNITURE
978,Customer#000000978,tBwaUg2mSRjDF,UNITED ST1,UNITED STATES,AMERICA,34-348-227-6667,BUILDING
979,Customer#000000979,ows6uoXVCJhy6DQGfkc,CHINA    2,CHINA,ASIA,28-255-948-9257,MACHINERY
980,Customer#000000980,7z IK9A1pDFP3J3e9UIPG,ARGENTINA5,ARGENTINA,AMERICA,11-651-166-3240,AUTOMOBILE
981,Customer#000000981,CeWn3HFU20U8UQUIFh,CHINA    8,CHINA,ASIA,28-603-456-1171,MACHINERY
982,Customer#000000982,ndRQnW3,UNITED KI5,UNITED KINGDOM,EUROPE,33-998-418-6615,FURNITURE
983,Customer#000000983,SHKouaxLmPwPkv40cEkZ,GERMANY  0,GERMANY,EUROPE,17-136-310-3804,BUILDING
984,Customer#000000984,MKqmfmcR,IRAQ     7,IRAQ,MIDDLE EAST,21-675-590-3473,AUTOMOBILE
985,Customer#000000985,"0yqeM,iop0wyz",UNITED KI7,UNITED KINGDOM,EUROPE,33-232-514-3624,HOUSEHOLD
986,Customer#000000986,"pMIYaJN5,kpXca",ARGENTINA7,ARGENTINA,AMERICA,11-221-668-7869,BUILDING
987,Customer#000000987,"9cr,68xjY",INDIA    0,INDIA,ASIA,18-437-149-3006,AUTOMOBILE
988,Customer#000000988,Ypd2gn6tePtLPW,CANADA   8,CANADA,AMERICA,13-700-437-5542,FURNITURE
989,Customer#000000989,"CgxIu5PjU32lh2,y1",IRAN     0,IRAN,MIDDLE EAST,20-189-857-8090,AUTOMOBILE
990,Customer#000000990,ylrINLWPASjHTKJ,ALGERIA  9,ALGERIA,AFRICA,10-736-744-4365,BUILDING
991,Customer#000000991,OgZksw,VIETNAM  2,VIETNAM,ASIA,31-142-875-7741,AUTOMOBILE
992,Customer#000000992,6PIZdlLb,ETHIOPIA 4,ETHIOPIA,AFRICA,15-565-127-5247,MACHINERY
993,Customer#000000993,WUgrhIorPePKP3FiqWgisiO,GERMANY  6,GERMANY,EUROPE,17-767-583-7374,FURNITURE
994,Customer#000000994, 1HNM5Wf7RngCBEGwXer4P,MOZAMBIQU7,MOZAMBIQUE,AFRICA,26-416-484-3099,HOUSEHOLD
995,Customer#000000995,Wyo8q EWAfWcwjNa1zI,JORDAN   9,JORDAN,MIDDLE EAST,23-153-638-7545,BUILDING
996,Customer#000000996,"uH 8HPkrs,aEVb2A5",RUSSIA   6,RUSSIA,EUROPE,32-259-884-2046,AUTOMOBILE
997,Customer#000000997,TVgeo8YnY9jkQtkSRCsB,PERU     9,PERU,AMERICA,27-621-493-2342,FURNITURE
998,Customer#000000998,Mj9elpkBJQtvRgw,PERU     1,PERU,AMERICA,27-439-414-8308,MACHINERY
999,Customer#000000999,AY8lmFLA 9yXeTCym,MOZAMBIQU8,MOZAMBIQUE,AFRICA,26-556-967-2607,BUILDING
1000,Customer#000001000,KseZzK7v,RUSSIA   2,RUSSIA,EUROPE,32-563-390-7858,BUILDING
1001,Customer#000001001,hP47slpX16uExrDeo,VIETNAM  4,VIETNAM,ASIA,31-152-934-8225,MACHINERY
1002,Customer#000001002,SSPgEu XH159fm2S,IRAN     9,IRAN,MIDDLE EAST,20-236-186-6698,MACHINERY
1003,Customer#000001003,"Gm,TFces5sfJkRo7o",VIETNAM  7,VIETNAM,ASIA,31-880-121-2298,AUTOMOBILE
1004,Customer#000001004,FpQdknhC2YzK3nU06Ynm,INDIA    3,INDIA,ASIA,18-960-140-9357,MACHINERY
1005,Customer#000001005,P74bfP7wCyI,JORDAN   1,JORDAN,MIDDLE EAST,23-483-103-9669,AUTOMOBILE
1006,Customer#000001006,bWUBQGOzQW,JAPAN    9,JAPAN,ASIA,22-275-181-3687,BUILDING
1007,Customer#000001007,"cLj,FwS",INDONESIA2,INDONESIA,ASIA,19-529-928-4089,MACHINERY
1008,Customer#000001008,rLbUymdsZmyWPxC7N0j 2,BRAZIL   5,BRAZIL,AMERICA,12-897-134-9884,HOUSEHOLD
1009,Customer#000001009,P4cd3 Y5uX0QGK2,JAPAN    3,JAPAN,ASIA,22-784-105-5546,BUILDING
1010,Customer#000001010,yQzigs,ETHIOPIA 2,ETHIOPIA,AFRICA,15-219-755-5479,AUTOMOBILE
1011,Customer#000001011,VESgbslu7WEDjKCPWo,ETHIOPIA 8,ETHIOPIA,AFRICA,15-997-908-7044,BUILDING
1012,Customer#000001012,W1zBrAAeUC,EGYPT    2,EGYPT,MIDDLE EAST,14-493-547-6969,AUTOMOBILE
1013,Customer#000001013,HV LMdyO,MOROCCO  6,MOROCCO,AFRICA,25-636-508-4398,BUILDING
1014,Customer#000001014,2zIQPDecc51Q,IRAQ     3,IRAQ,MIDDLE EAST,21-986-549-9647,AUTOMOBILE
1015,Customer#000001015,anh4mFOqGWloS,IRAN     5,IRAN,MIDDLE EAST,20-449-655-8989,HOUSEHOLD
1016,Customer#000001016,TysGJc3e,IRAQ     4,IRAQ,MIDDLE EAST,21-752-506-2492,AUTOMOBILE
1017,Customer#000001017,dC5b1l9VJ,MOZAMBIQU6,MOZAMBIQUE,AFRICA,26-677-936-3084,MACHINERY
1018,Customer#000001018,uFNuf2cKavt 3JXzWtGyuG,CHINA    6,CHINA,ASIA,28-326-603-9101,FURNITURE
1019,Customer#000001019,"6elzXT5Fpy0,KX,csbtFJI",VIETNAM  0,VIETNAM,ASIA,31-371-869-2433,FURNITURE
1020,Customer#000001020,ojCE0g8jgL38vf82wXRqDC,CANADA   8,CANADA,AMERICA,13-151-404-4005,MACHINERY
1021,Customer#000001021,FrJYvbPxHaEac O,FRANCE   3,FRANCE,EUROPE,16-615-141-1919,MACHINERY
1022,Customer#000001022,Gb0RjVMUEaw,INDIA    5,INDIA,ASIA,18-120-999-7103,AUTOMOBILE
1023,Customer#000001023,wSrCukOc76JlSNcA0Gy1,PERU     9,PERU,AMERICA,27-467-523-3238,AUTOMOBILE
1024,Customer#000001024,Svf 99TSx,IRAQ     7,IRAQ,MIDDLE EAST,21-822-330-4723,FURNITURE
1025,Customer#000001025,Y7YqZyCSEoB7Mcrg74SQz,INDIA    7,INDIA,ASIA,18-868-381-8072,AUTOMOBILE
1026,Customer#000001026,HygO8Sy5YcpS7WYh5AeM,PERU     7,PERU,AMERICA,27-751-259-8740,MACHINERY
1027,Customer#000001027,ldQvWa,BRAZIL   4,BRAZIL,AMERICA,12-566-949-4093,BUILDING
1028,Customer#000001028,"euEcJjd0vWWQCKa,J18wBC",IRAN     4,IRAN,MIDDLE EAST,20-241-420-5429,AUTOMOBILE
1029,Customer#000001029,oX7fgW,MOROCCO  2,MOROCCO,AFRICA,25-413-295-5895,BUILDING
1030,Customer#000001030,4ByZpJp,INDIA    7,INDIA,ASIA,18-375-163-1478,HOUSEHOLD
1031,Customer#000001031,Ovo2cMy6K5,VIETNAM  2,VIETNAM,ASIA,31-875-411-6115,AUTOMOBILE
1032,Customer#000001032,VtCiso v,CHINA    6,CHINA,ASIA,28-183-653-4603,FURNITURE
1033,Customer#000001033,5cCsbyclS6,INDIA    4,INDIA,ASIA,18-575-247-9010,BUILDING
1034,Customer#000001034,mDVAAQUW78hxh4sXLSkBcGl0,ETHIOPIA 2,ETHIOPIA,AFRICA,15-186-980-9064,HOUSEHOLD
1035,Customer#000001035,"Ut7PaVUVkXqI0Uph,mEacv",IRAN     3,IRAN,MIDDLE EAST,20-974-490-5943,AUTOMOBILE
1036,Customer#000001036,MuxHKISncl,INDIA    3,INDIA,ASIA,18-559-573-5410,BUILDING
1037,Customer#000001037,OvKn1cg9V1y6XjcZznc,UNITED KI6,UNITED KINGDOM,EUROPE,33-177-814-7863,BUILDING
1038,Customer#000001038,uaosQWUBdKPlRzuo9,PERU     9,PERU,AMERICA,27-548-377-6273,AUTOMOBILE
1039,Customer#000001039,"mU,Y7LgH",IRAN     7,IRAN,MIDDLE EAST,20-304-833-1391,FURNITURE
1040,Customer#000001040,xPhENkM,IRAQ     9,IRAQ,MIDDLE EAST,21-270-772-6060,BUILDING
1041,Customer#000001041,",SRLrE",IRAQ     0,IRAQ,MIDDLE EAST,21-791-967-1788,MACHINERY
1042,Customer#000001042,"9ZzJRLtlDY,EWs",ETHIOPIA 9,ETHIOPIA,AFRICA,15-134-303-4344,FURNITURE
1043,Customer#000001043,kheDZZuDWPGrw4oUI5x,GERMANY  0,GERMANY,EUROPE,17-553-752-7340,HOUSEHOLD
1044,Customer#000001044,nJYMSLft8,ALGERIA  4,ALGERIA,AFRICA,10-235-782-9940,BUILDING
1045,Customer#000001045,PFwk6EabfPt3rYXKMEb,SAUDI ARA1,SAUDI ARABIA,MIDDLE EAST,30-174-526-8279,HOUSEHOLD
1046,Customer#000001046,yEKAsGt64Xr2sY,IRAN     7,IRAN,MIDDLE EAST,20-268-537-8282,BUILDING
1047,Customer#000001047,KVIp9fztE0uUff8b6Y,INDONESIA0,INDONESIA,ASIA,19-784-323-3431,BUILDING
1048,Customer#000001048,"fG,MPJvR8Q",ROMANIA  6,ROMANIA,EUROPE,29-718-723-5373,BUILDING
1049,Customer#000001049,Q1ZcOmJjQ,INDONESIA9,INDONESIA,ASIA,19-308-532-5953,MACHINERY
1050,Customer#000001050,hK5DHeT2WjpdVLRUjm6,IRAQ     1,IRAQ,MIDDLE EAST,21-295-469-8581,FURNITURE
1051,Customer#000001051,Jj806mx,BRAZIL   5,BRAZIL,AMERICA,12-593-198-5028,HOUSEHOLD
1052,Customer#000001052,"dO3yg90ZjwMYn,rAbwJ",JORDAN   0,JORDAN,MIDDLE EAST,23-670-200-2924,BUILDING
1053,Customer#000001053,wnh7yNtQxzF1,MOZAMBIQU5,MOZAMBIQUE,AFRICA,26-150-322-1853,MACHINERY
1054,Customer#000001054,4KHUa6tYiRm5C8IjPKfLSfi,VIETNAM  3,VIETNAM,ASIA,31-299-167-7023,HOUSEHOLD
1055,Customer#000001055,2XqKKumebenYJAA,GERMANY  4,GERMANY,EUROPE,17-306-607-3769,HOUSEHOLD
1056,Customer#000001056,TxZ DocO,ETHIOPIA 3,ETHIOPIA,AFRICA,15-904-708-2645,HOUSEHOLD
1057,Customer#000001057,"vt5SrmP4Wu90hJGvo,",UNITED ST4,UNITED STATES,AMERICA,34-113-887-8875,AUTOMOBILE
1058,Customer#000001058,"a,dimP85naX d",ROMANIA  5,ROMANIA,EUROPE,29-949-978-6932,MACHINERY
1059,Customer#000001059,djv2eJnHEKNia3Jg,UNITED KI9,UNITED KINGDOM,EUROPE,33-545-972-9730,HOUSEHOLD
1060,Customer#000001060,R4hG6VhhhcxK,INDIA    6,INDIA,ASIA,18-870-788-5315,HOUSEHOLD
1061,Customer#000001061,pAfJKsICZoCagJ 6jjnJ5K,EGYPT    5,EGYPT,MIDDLE EAST,14-582-676-4365,BUILDING
1062,Customer#000001062,Yc2 knhoZ,RUSSIA   0,RUSSIA,EUROPE,32-691-593-1242,HOUSEHOLD
1063,Customer#000001063,uj54nUt,VIETNAM  2,VIETNAM,ASIA,31-507-387-2886,MACHINERY
1064,Customer#000001064,6ElJB6RrQiBb,MOROCCO  3,MOROCCO,AFRICA,25-597-130-8584,MACHINERY
1065,Customer#000001065,"BkpQT4,Nce gfx2qB",RUSSIA   7,RUSSIA,EUROPE,32-542-708-2762,HOUSEHOLD
1066,Customer#000001066,"ZkMr,eGYRlGpzZkypI2SX",ALGERIA  5,ALGERIA,AFRICA,10-587-573-6083,MACHINERY
1067,Customer#000001067,LYVoj1,UNITED KI5,UNITED KINGDOM,EUROPE,33-528-257-9769,FURNITURE
1068,Customer#000001068,"nF4NkEDgBED,zqZrxry",CHINA    2,CHINA,ASIA,28-184-926-5421,AUTOMOBILE
1069,Customer#000001069,cN4 bl8q JEA,VIETNAM  1,VIETNAM,ASIA,31-172-628-3560,BUILDING
1070,Customer#000001070,"F,z2EN2zVvgtN88",MOROCCO  1,MOROCCO,AFRICA,25-571-377-3401,FURNITURE
1071,Customer#000001071,cKoq2gYfmvnTwTbHWN2BaMr,MOZAMBIQU3,MOZAMBIQUE,AFRICA,26-269-842-9419,MACHINERY
1072,Customer#000001072,kBo ZzeSS4Dmf,EGYPT    8,EGYPT,MIDDLE EAST,14-169-930-6985,HOUSEHOLD
1073,Customer#000001073,hmtliZK2e1A,IRAN     2,IRAN,MIDDLE EAST,20-713-161-3704,BUILDING
1074,Customer#000001074,Ek0M91,IRAN     1,IRAN,MIDDLE EAST,20-396-137-7834,BUILDING
1075,Customer#000001075,"K7iOYr6KrBBJ2JY5,te68ay ",VIETNAM  4,VIETNAM,ASIA,31-888-827-2907,BUILDING
1076,Customer#000001076,"pZKL,mtI6rkSSb,PBw",IRAN     6,IRAN,MIDDLE EAST,20-612-997-6342,AUTOMOBILE
1077,Customer#000001077, HGZn8j45e4VXGkTqP7y8JZm,VIETNAM  5,VIETNAM,ASIA,31-121-397-5027,AUTOMOBILE
1078,Customer#000001078,2H9sqtSaPmNi,ROMANIA  0,ROMANIA,EUROPE,29-624-973-2343,MACHINERY
1079,Customer#000001079,PctNTwzji,ROMANIA  4,ROMANIA,EUROPE,29-730-907-3502,AUTOMOBILE
1080,Customer#000001080,3xu0K ZWdBE,JAPAN    3,JAPAN,ASIA,22-465-621-9214,MACHINERY
1081,Customer#000001081,Nkk9H2MuT2rdwnZI,JAPAN    0,JAPAN,ASIA,22-375-137-8121,MACHINERY
1082,Customer#000001082,xe3VYrZsAnQkdsHM8sKzv8,ETHIOPIA 4,ETHIOPIA,AFRICA,15-438-398-2565,BUILDING
1083,Customer#000001083,zD B2F4kuvuQl,GERMANY  1,GERMANY,EUROPE,17-209-661-3831,FURNITURE
1084,Customer#000001084,"n,RZ TXUq",BRAZIL   2,BRAZIL,AMERICA,12-197-588-1571,FURNITURE
1085,Customer#000001085,C1KyjakiG66vImhg413zY,VIETNAM  4,VIETNAM,ASIA,31-694-638-1767,BUILDING
1086,Customer#000001086,noe1 ddyCYE,INDIA    3,INDIA,ASIA,18-241-190-8777,FURNITURE
1087,Customer#000001087,n7cjUTx iuhSXR,VIETNAM  9,VIETNAM,ASIA,31-345-542-8289,MACHINERY
1088,Customer#000001088,"3H3aydhCe,EJoFmu,04lOduw",RUSSIA   8,RUSSIA,EUROPE,32-420-827-4701,BUILDING
1089,Customer#000001089,dcTTrsBfHQdMTPQFZ4D,CHINA    3,CHINA,ASIA,28-974-102-7427,BUILDING
1090,Customer#000001090,cYhnjm,MOROCCO  4,MOROCCO,AFRICA,25-869-223-3212,AUTOMOBILE
1091,Customer#000001091,XtMTviXK6RZ91o,PERU     8,PERU,AMERICA,27-649-185-6921,BUILDING
1092,Customer#000001092,1CqAYgU,MOROCCO  9,MOROCCO,AFRICA,25-625-330-9211,HOUSEHOLD
1093,Customer#000001093,gc0RApbiH84 IpAbzqc3,UNITED ST3,UNITED STATES,AMERICA,34-402-777-3279,HOUSEHOLD
1094,Customer#000001094,"dls,MNN7EbF3GYrY3eR",BRAZIL   5,BRAZIL,AMERICA,12-609-696-9902,MACHINERY
1095,Customer#000001095,iytawgFoir2b,INDONESIA5,INDONESIA,ASIA,19-263-151-5237,MACHINERY
1096,Customer#000001096,GNPCUrLDo9Il4S 2DwkU7,EGYPT    1,EGYPT,MIDDLE EAST,14-115-967-9585,FURNITURE
1097,Customer#000001097,RrveO0GaxyPjzUOaCECepkH,FRANCE   5,FRANCE,EUROPE,16-288-313-5272,MACHINERY
1098,Customer#000001098,45hPZkua,RUSSIA   4,RUSSIA,EUROPE,32-926-560-9683,FURNITURE
1099,Customer#000001099,Z1I6UXQxrf,ARGENTINA7,ARGENTINA,AMERICA,11-655-675-5843,AUTOMOBILE
1100,Customer#000001100,ck3H01wHq,JAPAN    0,JAPAN,ASIA,22-868-665-9539,BUILDING
1101,Customer#000001101,K06cmuC,CANADA   2,CANADA,AMERICA,13-397-730-2856,MACHINERY
1102,Customer#000001102,"mRLu1KhhJQa,bW9L",UNITED ST1,UNITED STATES,AMERICA,34-110-823-3729,HOUSEHOLD
1103,Customer#000001103,HP2 Ls,MOZAMBIQU3,MOZAMBIQUE,AFRICA,26-687-882-9664,AUTOMOBILE
1104,Customer#000001104,1y0NSmFD,INDIA    3,INDIA,ASIA,18-425-543-6950,AUTOMOBILE
1105,Customer#000001105,P1JJc7swU06,RUSSIA   2,RUSSIA,EUROPE,32-470-157-6516,FURNITURE
1106,Customer#000001106,51mmuj6RKY ,VIETNAM  1,VIETNAM,ASIA,31-442-364-1024,HOUSEHOLD
1107,Customer#000001107,uapbZ9fgYx,ARGENTINA8,ARGENTINA,AMERICA,11-859-412-6010,AUTOMOBILE
1108,Customer#000001108,"SzbyURUU9,No952KRa ",GERMANY  2,GERMANY,EUROPE,17-857-766-2851,BUILDING
1109,Customer#000001109,qhoL73m5RMp,RUSSIA   8,RUSSIA,EUROPE,32-877-394-8667,FURNITURE
1110,Customer#000001110,q9D7tT910ZDjcKRGtS,IRAN     7,IRAN,MIDDLE EAST,20-393-759-9313,HOUSEHOLD
1111,Customer#000001111,LQwBKVM,FRANCE   9,FRANCE,EUROPE,16-302-946-6337,MACHINERY
1112,Customer#000001112,"wlLr,E8wNhuGYkAazAh P",SAUDI ARA2,SAUDI ARABIA,MIDDLE EAST,30-959-477-6941,MACHINERY
1113,Customer#000001113,Ifyg10Q9,JAPAN    2,JAPAN,ASIA,22-566-819-3545,HOUSEHOLD
1114,Customer#000001114,MTrJMTMptpmtUsTxOc,KENYA    5,KENYA,AFRICA,24-251-747-7039,BUILDING
1115,Customer#000001115,nFwPYRXlI,ETHIOPIA 7,ETHIOPIA,AFRICA,15-283-174-5611,BUILDING
1116,Customer#000001116,R4xfKQx0S,KENYA    5,KENYA,AFRICA,24-299-232-8737,AUTOMOBILE
1117,Customer#000001117,"T,dLsq94HVz66Q",UNITED KI4,UNITED KINGDOM,EUROPE,33-450-115-4347,FURNITURE
1118,Customer#000001118,bjK0newm53R2Co,IRAQ     3,IRAQ,MIDDLE EAST,21-842-694-7686,HOUSEHOLD
1119,Customer#000001119,n9VwqqIL5TVUAVL0md,SAUDI ARA8,SAUDI ARABIA,MIDDLE EAST,30-261-141-3893,AUTOMOBILE
1120,Customer#000001120,"7qkR, FoEh9ThcbsqJF5,Yy",BRAZIL   4,BRAZIL,AMERICA,12-681-485-3576,AUTOMOBILE
1121,Customer#000001121,DYxOXrj2s0FrXw2L,SAUDI ARA0,SAUDI ARABIA,MIDDLE EAST,30-288-344-3668,MACHINERY
1122,Customer#000001122,"SFudm5,9MIXnlQ7Xw307WV",ALGERIA  9,ALGERIA,AFRICA,10-252-319-1249,BUILDING
1123,Customer#000001123,"CcS,alHgT80hECJXUN5Ior",MOZAMBIQU9,MOZAMBIQUE,AFRICA,26-609-708-8185,MACHINERY
1124,Customer#000001124,nadvROd,ARGENTINA5,ARGENTINA,AMERICA,11-327-332-4432,BUILDING
1125,Customer#000001125,o jGMR3UvzKyx,CANADA   9,CANADA,AMERICA,13-227-800-7867,MACHINERY
1126,Customer#000001126,ThrPsg4PCbBt8q4cK,INDIA    4,INDIA,ASIA,18-199-630-2326,AUTOMOBILE
1127,Customer#000001127,EAZvX6JgIMXiX1Aym,IRAN     5,IRAN,MIDDLE EAST,20-952-217-5029,AUTOMOBILE
1128,Customer#000001128,UY36f0BPW0efELt,ALGERIA  8,ALGERIA,AFRICA,10-560-950-6812,BUILDING
1129,Customer#000001129,"demA2x0JJtqqcPnIiGCbg,X",INDIA    4,INDIA,ASIA,18-361-394-6195,HOUSEHOLD
1130,Customer#000001130,"V,ss qBl3Hxjstw05cPjY",RUSSIA   0,RUSSIA,EUROPE,32-216-159-3328,HOUSEHOLD
1131,Customer#000001131,"h5qwp,FvxdsAj4nobdOGNDE",SAUDI ARA5,SAUDI ARABIA,MIDDLE EAST,30-671-588-4662,MACHINERY
1132,Customer#000001132,"VNOecKU,35",RUSSIA   1,RUSSIA,EUROPE,32-505-455-1597,AUTOMOBILE
1133,Customer#000001133,"mLq,CsOeb,Z2Fs",KENYA    5,KENYA,AFRICA,24-150-385-3780,MACHINERY
1134,Customer#000001134,UR72ySW,INDONESIA9,INDONESIA,ASIA,19-264-978-2762,HOUSEHOLD
1135,Customer#000001135,PcdwRPuzF3dMLbsK6aPkEe,IRAQ     6,IRAQ,MIDDLE EAST,21-343-415-9202,FURNITURE
1136,Customer#000001136,"ljomI9g,7g cDOxi7X",UNITED ST2,UNITED STATES,AMERICA,34-572-741-5408,FURNITURE
1137,Customer#000001137,"ghXhXJ,pFbg JgIV5",MOZAMBIQU5,MOZAMBIQUE,AFRICA,26-973-473-2767,AUTOMOBILE
1138,Customer#000001138,TrRb0Oik4DA,RUSSIA   8,RUSSIA,EUROPE,32-263-208-3553,BUILDING
1139,Customer#000001139,7nkkUS 2K6lQtdGsRwltzN,RUSSIA   2,RUSSIA,EUROPE,32-216-512-8595,BUILDING
1140,Customer#000001140,GMkVD8C1BHF,SAUDI ARA3,SAUDI ARABIA,MIDDLE EAST,30-148-722-9708,AUTOMOBILE
1141,Customer#000001141,rUxsx4BK9bCZR,RUSSIA   9,RUSSIA,EUROPE,32-605-828-6050,MACHINERY
1142,Customer#000001142,QTtyIJ,MOZAMBIQU9,MOZAMBIQUE,AFRICA,26-777-207-9522,AUTOMOBILE
1143,Customer#000001143,SyL7kO2jt14y3P,EGYPT    5,EGYPT,MIDDLE EAST,14-867-792-6806,AUTOMOBILE
1144,Customer#000001144,okf64lRMw2gdP2Jd35sA,ARGENTINA3,ARGENTINA,AMERICA,11-864-312-2867,BUILDING
1145,Customer#000001145,V9r boU8nacBlx2vuvJ0ow,BRAZIL   5,BRAZIL,AMERICA,12-624-467-3275,HOUSEHOLD
1146,Customer#000001146,"o9p2wm,Ipk noXIcdlzbkA",JAPAN    0,JAPAN,ASIA,22-110-285-2511,FURNITURE
1147,Customer#000001147,r5HFOtv5vfso,MOROCCO  8,MOROCCO,AFRICA,25-493-381-4100,HOUSEHOLD
1148,Customer#000001148,UbzFtBy8ZgZbQPHKyrWALQ,ROMANIA  6,ROMANIA,EUROPE,29-496-856-9633,AUTOMOBILE
1149,Customer#000001149,"WhcqvptSenU,761",CANADA   5,CANADA,AMERICA,13-247-462-3766,MACHINERY
1150,Customer#000001150,M6hAsO,VIETNAM  2,VIETNAM,ASIA,31-538-454-1606,MACHINERY
1151,Customer#000001151,AQyapbW 2ws,GERMANY  2,GERMANY,EUROPE,17-460-999-8173,BUILDING
1152,Customer#000001152,b9ElFS1G,JAPAN    1,JAPAN,ASIA,22-542-683-9661,HOUSEHOLD
1153,Customer#000001153,92kXgfHZLeKTkvwj10B2,CANADA   2,CANADA,AMERICA,13-214-570-7769,HOUSEHOLD
1154,Customer#000001154,U9AydwO8b,ROMANIA  1,ROMANIA,EUROPE,29-154-971-3056,BUILDING
